                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.1052,                 3.4766,                 4.0435,                0.00399,                0.32208,                0.00503,                0.00188,                 2.5603,                 3.8493,                 4.0758,             0.00054023,             0.00054023,             0.00054023
                      2,                 2.7827,                 3.0704,                 3.6019,                0.00368,                0.28956,                0.00661,                0.00196,                 2.6821,                  4.055,                 4.1845,              0.0010742,              0.0010742,              0.0010742
                      3,                 2.4455,                 2.8003,                 3.1779,                0.01887,                0.07078,                0.00523,                0.00151,                 2.6729,                 6.2533,                  7.601,              0.0015862,              0.0015862,              0.0015862
                      4,                 2.2614,                 2.5492,                 2.8556,                0.08972,                0.22873,                0.09233,                 0.0385,                 2.6133,                 4.3684,                 3.8121,               0.001568,               0.001568,               0.001568
                      5,                  2.096,                 2.3397,                 2.6832,                0.71375,                0.22691,                0.27731,                0.12781,                 1.8223,                 5.5695,                 2.6715,               0.001535,               0.001535,               0.001535
                      6,                 1.9367,                 2.1282,                 2.5132,                0.35096,                0.42908,                0.37356,                0.20915,                 1.5711,                 3.0961,                 2.3413,               0.001502,               0.001502,               0.001502
                      7,                 1.8259,                 2.0061,                 2.3747,                0.38248,                0.45486,                0.37838,                0.19898,                 1.6078,                  2.832,                 2.3193,               0.001469,               0.001469,               0.001469
                      8,                 1.7405,                 1.8796,                 2.2789,                0.41562,                0.51224,                0.41747,                0.24018,                 1.4985,                  2.475,                 2.2022,               0.001436,               0.001436,               0.001436
                      9,                 1.6682,                 1.7668,                 2.1977,                0.49182,                0.57614,                0.50258,                0.30313,                 1.4517,                 1.6489,                 2.0699,              0.0014029,              0.0014029,              0.0014029
                     10,                 1.5945,                 1.6469,                 2.1189,                0.58818,                0.57852,                0.55986,                0.34109,                 1.4374,                 1.6419,                 2.0823,              0.0013699,              0.0013699,              0.0013699
                     11,                 1.5629,                 1.5647,                 2.0758,                0.57294,                0.53156,                 0.5287,                 0.3251,                 1.4785,                 1.7552,                 2.1348,              0.0013369,              0.0013369,              0.0013369
                     12,                  1.494,                 1.4829,                 2.0218,                0.53355,                0.60459,                0.55551,                0.35514,                  1.338,                  1.548,                 1.9825,              0.0013039,              0.0013039,              0.0013039
                     13,                 1.4674,                 1.4229,                  1.979,                0.65183,                0.60615,                0.64056,                0.40871,                 1.3585,                 1.3578,                 1.9665,              0.0012709,              0.0012709,              0.0012709
                     14,                 1.4598,                 1.4135,                 1.9513,                0.55484,                0.64864,                0.58935,                0.38941,                 1.2991,                 1.4265,                  1.893,              0.0012379,              0.0012379,              0.0012379
                     15,                 1.4076,                 1.3354,                 1.9052,                0.60251,                0.63672,                0.63943,                0.42181,                 1.2981,                 1.3147,                  1.901,              0.0012049,              0.0012049,              0.0012049
                     16,                 1.4036,                  1.352,                 1.8918,                0.66888,                0.60649,                0.66325,                0.42743,                 1.3476,                 1.2778,                  1.922,              0.0011719,              0.0011719,              0.0011719
                     17,                 1.3927,                 1.3373,                 1.8836,                0.60992,                0.64364,                0.64401,                0.40786,                 1.3305,                 1.4226,                 1.9494,              0.0011389,              0.0011389,              0.0011389
                     18,                 1.3953,                 1.2865,                 1.8659,                0.61445,                0.68991,                0.69012,                0.45569,                 1.2885,                 1.2334,                 1.8651,              0.0011059,              0.0011059,              0.0011059
                     19,                 1.3407,                 1.2659,                 1.8491,                0.59198,                0.71359,                0.68154,                0.45218,                 1.2638,                  1.229,                 1.8514,              0.0010729,              0.0010729,              0.0010729
                     20,                 1.3563,                 1.2794,                 1.8458,                0.59286,                0.66295,                0.66408,                0.42031,                 1.3049,                 1.2873,                 1.8603,              0.0010399,              0.0010399,              0.0010399
                     21,                 1.3285,                 1.1939,                 1.8113,                0.69729,                0.65176,                0.69478,                0.47105,                  1.231,                 1.2585,                 1.8153,              0.0010069,              0.0010069,              0.0010069
                     22,                 1.3119,                 1.1719,                 1.8101,                0.56148,                0.62878,                0.61022,                0.40358,                 1.2605,                 1.3678,                 1.8287,             0.00097386,             0.00097386,             0.00097386
                     23,                 1.3104,                 1.1485,                 1.7828,                0.63696,                0.69051,                0.70978,                0.47751,                 1.2616,                 1.1602,                 1.8218,             0.00094085,             0.00094085,             0.00094085
