                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.1918,                 1.7666,                 1.4548,                0.51464,                  0.571,                0.48557,                0.33597,                 1.1362,                 1.9021,                 1.3997,               0.070833,              0.0032407,              0.0032407
                      1,                 1.1049,                 1.1212,                 1.3183,                0.51279,                0.66781,                0.62801,                0.41834,                 1.1565,                 2.0568,                 1.3957,               0.040703,              0.0064439,              0.0064439
                      2,                 1.1149,                 1.0692,                 1.2778,                 0.6092,                0.63132,                0.66254,                0.45864,                 1.1808,                 2.9564,                 1.3479,               0.010441,              0.0095151,              0.0095151
                      3,                 1.0938,                 1.0039,                 1.2454,                0.65392,                0.60965,                0.62499,                0.43187,                 1.1713,                  2.545,                  1.328,               0.009406,               0.009406,               0.009406
                      4,                 1.1267,                0.90228,                 1.2462,                0.61097,                0.64671,                0.64632,                0.44181,                 1.1495,                 1.5025,                 1.3031,               0.009406,               0.009406,               0.009406
                      5,                 1.1368,                0.87567,                 1.2523,                0.68667,                0.64993,                0.70451,                0.46674,                 1.1941,                 1.5324,                 1.3019,               0.009208,               0.009208,               0.009208
                      6,                 1.1244,                0.82741,                 1.2355,                0.72923,                0.61653,                0.67696,                0.45117,                 1.2469,                 1.2243,                 1.3996,                0.00901,                0.00901,                0.00901
                      7,                 1.1133,                  0.829,                 1.2549,                0.68147,                0.67108,                0.72624,                0.48433,                 1.2234,                 1.1075,                 1.3779,               0.008812,               0.008812,               0.008812
                      8,                 1.1049,                0.81814,                 1.2506,                0.66804,                0.74982,                0.76724,                 0.5245,                 1.1651,                0.89876,                   1.35,               0.008614,               0.008614,               0.008614
                      9,                 1.0902,                0.78635,                 1.2748,                0.74832,                0.64502,                0.73741,                0.50865,                 1.1819,                 1.0638,                 1.3582,               0.008416,               0.008416,               0.008416
                     10,                 1.0689,                0.72785,                 1.2359,                0.74183,                0.65051,                0.72872,                0.50397,                 1.2265,                  1.053,                 1.3993,               0.008218,               0.008218,               0.008218
                     11,                 1.0861,                0.73971,                 1.2351,                0.72949,                0.67304,                 0.7382,                0.51452,                 1.1701,                0.94723,                 1.3438,                0.00802,                0.00802,                0.00802
                     12,                 1.0415,                0.71113,                 1.2506,                0.76296,                0.72272,                0.79477,                0.55388,                 1.1484,                0.87686,                 1.3742,               0.007822,               0.007822,               0.007822
                     13,                 1.0465,                0.72653,                 1.2686,                0.76478,                0.78208,                0.82624,                0.57788,                 1.1191,                0.81236,                 1.3567,               0.007624,               0.007624,               0.007624
                     14,                  1.035,                0.65854,                 1.2296,                0.76601,                0.71914,                0.80322,                0.56572,                 1.1266,                0.84937,                 1.2954,               0.007426,               0.007426,               0.007426
                     15,                 1.0284,                0.66311,                 1.2131,                0.83091,                0.66776,                0.79347,                0.55738,                  1.137,                0.87909,                 1.3093,               0.007228,               0.007228,               0.007228
                     16,                 1.0035,                 0.6459,                 1.2013,                0.68226,                0.72406,                  0.771,                0.54271,                 1.1341,                 1.0041,                 1.2821,                0.00703,                0.00703,                0.00703
                     17,                0.99613,                0.64419,                 1.1983,                0.80299,                0.68583,                0.79765,                0.55947,                 1.1764,                0.84972,                 1.3064,               0.006832,               0.006832,               0.006832
                     18,                0.97139,                0.63363,                 1.1806,                0.78662,                0.72213,                0.80529,                0.55677,                 1.1784,                0.86615,                 1.3709,               0.006634,               0.006634,               0.006634
                     19,                0.99004,                0.60404,                 1.1935,                0.80648,                0.73871,                0.81484,                0.57458,                 1.1479,                0.82411,                 1.3123,               0.006436,               0.006436,               0.006436
                     20,                0.96879,                0.59303,                 1.1827,                0.75555,                0.76678,                0.83193,                0.59362,                 1.1222,                0.79083,                 1.3072,               0.006238,               0.006238,               0.006238
                     21,                0.96011,                0.59385,                 1.2005,                0.78343,                0.73629,                0.81341,                0.58067,                 1.1431,                0.83701,                 1.3507,                0.00604,                0.00604,                0.00604
                     22,                0.92036,                0.56432,                 1.1785,                0.77992,                0.75953,                0.83187,                0.58884,                 1.1422,                0.78608,                 1.3638,               0.005842,               0.005842,               0.005842
                     23,                0.93197,                0.55215,                 1.1763,                0.73978,                0.73821,                0.82459,                0.57532,                 1.1594,                0.79289,                 1.3709,               0.005644,               0.005644,               0.005644
                     24,                0.91266,                0.53397,                 1.1624,                0.75162,                0.76397,                 0.8091,                 0.5717,                 1.1397,                0.81205,                 1.3418,               0.005446,               0.005446,               0.005446
                     25,                0.88484,                0.53348,                 1.1472,                0.79836,                0.75994,                0.83737,                0.59579,                 1.1454,                0.79007,                 1.3502,               0.005248,               0.005248,               0.005248
                     26,                 0.8882,                0.50686,                  1.149,                0.80201,                0.70012,                0.81529,                0.57624,                 1.1452,                0.85182,                 1.3623,                0.00505,                0.00505,                0.00505
                     27,                0.86599,                0.51671,                 1.1408,                0.82517,                0.73227,                0.82433,                 0.5896,                  1.125,                 0.7856,                 1.3461,               0.004852,               0.004852,               0.004852
                     28,                0.84732,                 0.4943,                 1.1388,                 0.8237,                0.72363,                0.83787,                0.59725,                  1.155,                0.79779,                 1.3851,               0.004654,               0.004654,               0.004654
