                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.2187,                 1.9486,                 1.4551,                0.63599,                0.60991,                0.60556,                0.42172,                  1.144,                 1.5258,                 1.3952,               0.070833,              0.0032407,              0.0032407
                      1,                 1.1247,                 1.1239,                 1.3328,                0.71012,                0.72778,                0.75505,                0.51994,                 1.1611,                 1.0935,                  1.356,               0.040703,              0.0064439,              0.0064439
                      2,                 1.1083,                  1.079,                  1.269,                0.73188,                0.63039,                0.71388,                0.50318,                 1.1658,                 1.4431,                 1.3471,               0.010441,              0.0095151,              0.0095151
                      3,                 1.0985,                0.94701,                 1.2533,                0.72263,                0.67825,                0.74647,                 0.5221,                 1.1402,                 1.2761,                 1.3258,               0.009406,               0.009406,               0.009406
                      4,                 1.1011,                0.88981,                  1.241,                0.71505,                0.63979,                0.69647,                0.48332,                 1.1463,                 1.3553,                 1.3195,               0.009406,               0.009406,               0.009406
                      5,                 1.1005,                0.87097,                 1.2572,                0.69242,                0.78346,                0.80341,                0.55141,                 1.1271,                 1.2568,                 1.3321,               0.009208,               0.009208,               0.009208
                      6,                  1.106,                0.80689,                 1.2485,                0.74556,                0.71874,                0.78472,                0.55442,                 1.1349,                0.98607,                 1.3146,                0.00901,                0.00901,                0.00901
                      7,                 1.0826,                0.81554,                 1.2606,                0.70141,                 0.7387,                0.76917,                0.52933,                 1.1525,                0.94642,                 1.3563,               0.008812,               0.008812,               0.008812
                      8,                 1.0806,                0.77728,                 1.2367,                0.71188,                 0.7371,                0.80293,                0.55752,                 1.1483,                 0.9124,                 1.3519,               0.008614,               0.008614,               0.008614
                      9,                 1.0682,                 0.7616,                 1.2535,                0.79768,                0.69454,                0.77469,                0.54328,                 1.1589,                0.90467,                 1.3522,               0.008416,               0.008416,               0.008416
                     10,                 1.0516,                0.71237,                 1.2239,                0.73243,                0.65254,                0.70555,                0.49193,                 1.1599,                 1.0802,                 1.3534,               0.008218,               0.008218,               0.008218
                     11,                 1.0716,                0.71713,                 1.2221,                0.72282,                0.72407,                0.75771,                0.52665,                  1.143,                0.93959,                 1.3415,                0.00802,                0.00802,                0.00802
                     12,                 1.0291,                0.69679,                 1.2298,                0.76961,                0.72205,                0.80033,                0.56712,                 1.1271,                0.84299,                 1.3454,               0.007822,               0.007822,               0.007822
                     13,                 1.0117,                0.70518,                 1.2287,                0.77411,                0.74826,                0.80404,                0.56915,                 1.1452,                0.83326,                 1.3653,               0.007624,               0.007624,               0.007624
                     14,                 1.0167,                0.64517,                 1.2162,                0.80953,                0.76011,                0.81945,                0.58049,                 1.1155,                0.81112,                 1.3363,               0.007426,               0.007426,               0.007426
                     15,                 1.0026,                0.63345,                 1.2075,                 0.7709,                0.74685,                0.82067,                0.58213,                  1.145,                 0.8294,                 1.3378,               0.007228,               0.007228,               0.007228
                     16,                0.98398,                0.62299,                 1.1875,                0.81642,                0.73372,                0.82456,                0.58133,                 1.1556,                0.81026,                  1.347,                0.00703,                0.00703,                0.00703
                     17,                0.97558,                 0.6312,                  1.201,                0.74412,                0.75218,                0.80144,                0.55578,                 1.2006,                0.88866,                 1.4037,               0.006832,               0.006832,               0.006832
                     18,                0.96229,                0.59729,                 1.1858,                0.78313,                0.72429,                0.80935,                0.57266,                 1.1466,                0.86732,                 1.3721,               0.006634,               0.006634,               0.006634
                     19,                0.96405,                0.58596,                 1.1944,                0.76331,                0.72748,                0.79687,                 0.5718,                 1.1219,                0.84824,                 1.3445,               0.006436,               0.006436,               0.006436
                     20,                0.94537,                 0.5765,                 1.1668,                0.80307,                0.71655,                 0.7978,                0.56074,                 1.1442,                0.86558,                 1.3481,               0.006238,               0.006238,               0.006238
                     21,                0.93839,                0.56881,                  1.161,                0.80151,                0.76126,                 0.8294,                0.58567,                 1.1358,                 0.7913,                 1.3219,                0.00604,                0.00604,                0.00604
                     22,                0.90192,                0.54311,                 1.1389,                0.79901,                0.76154,                0.82363,                0.57468,                 1.1486,                0.80613,                 1.3346,               0.005842,               0.005842,               0.005842
                     23,                0.91356,                0.53816,                 1.1509,                0.78266,                0.72881,                0.78393,                0.54526,                 1.1771,                 0.8532,                 1.3644,               0.005644,               0.005644,               0.005644
                     24,                0.89304,                0.52635,                 1.1405,                0.78406,                0.73756,                0.80056,                0.56316,                 1.1872,                0.86677,                 1.3909,               0.005446,               0.005446,               0.005446
                     25,                0.86154,                0.51472,                 1.1176,                0.81284,                0.73175,                 0.8273,                0.58188,                 1.1366,                0.83972,                 1.3483,               0.005248,               0.005248,               0.005248
                     26,                0.87255,                0.49743,                  1.131,                0.78841,                0.76195,                0.83048,                0.58421,                 1.1636,                 0.8246,                 1.3772,                0.00505,                0.00505,                0.00505
                     27,                0.84905,                0.50394,                 1.1252,                 0.8252,                0.78074,                0.85616,                0.59839,                 1.1742,                 0.7573,                 1.3847,               0.004852,               0.004852,               0.004852
                     28,                 0.8306,                 0.4866,                 1.1216,                0.83151,                0.74848,                0.83848,                0.58468,                 1.1693,                0.80242,                 1.3856,               0.004654,               0.004654,               0.004654
                     29,                0.82725,                0.47273,                 1.1019,                0.83244,                0.77137,                0.84241,                0.59291,                 1.1699,                0.81263,                 1.3852,               0.004456,               0.004456,               0.004456
                     30,                0.81626,                0.46648,                 1.1001,                0.84292,                0.76046,                0.85244,                0.60291,                 1.1561,                0.78509,                 1.3738,               0.004258,               0.004258,               0.004258
                     31,                0.79875,                0.45561,                 1.1026,                0.81336,                0.77346,                0.83633,                0.59066,                 1.1541,                0.79703,                 1.3998,                0.00406,                0.00406,                0.00406
                     32,                0.77383,                0.43809,                 1.0724,                0.81667,                0.77033,                0.83974,                0.60245,                 1.1433,                0.79973,                 1.3911,               0.003862,               0.003862,               0.003862
                     33,                0.76919,                0.43486,                 1.0694,                0.83005,                0.74443,                0.83995,                 0.5954,                 1.1501,                0.83431,                   1.39,               0.003664,               0.003664,               0.003664
                     34,                0.75553,                0.43535,                 1.0634,                0.83147,                0.75878,                0.80856,                0.57861,                 1.1441,                0.89235,                 1.3832,               0.003466,               0.003466,               0.003466
                     35,                 0.7512,                0.43718,                 1.0603,                0.81526,                0.75412,                0.83493,                0.59779,                 1.1441,                0.84192,                 1.3538,               0.003268,               0.003268,               0.003268
                     36,                0.73745,                0.41945,                 1.0505,                0.79391,                0.79138,                0.82739,                0.58931,                 1.1447,                0.82291,                 1.3676,                0.00307,                0.00307,                0.00307
                     37,                0.71575,                0.40924,                 1.0506,                0.81209,                0.77893,                0.82772,                0.59213,                 1.1425,                0.88077,                 1.3817,               0.002872,               0.002872,               0.002872
                     38,                0.71446,                0.40243,                 1.0471,                0.83876,                0.76819,                 0.8337,                0.59824,                 1.1474,                0.81661,                 1.3952,               0.002674,               0.002674,               0.002674
                     39,                0.69072,                0.39529,                 1.0326,                0.79778,                0.77927,                0.84469,                0.60065,                 1.1519,                0.79779,                 1.4024,               0.002476,               0.002476,               0.002476
                     40,                0.66798,                0.34524,                 1.0319,                0.82345,                0.75428,                0.83128,                0.58678,                 1.1619,                0.81878,                 1.4392,               0.002278,               0.002278,               0.002278
                     41,                0.62991,                0.31061,                  1.005,                0.85869,                0.73833,                0.83184,                0.58654,                 1.1792,                0.79688,                 1.4422,                0.00208,                0.00208,                0.00208
                     42,                0.60252,                0.30664,                0.98037,                0.83374,                0.77045,                0.84265,                0.59683,                 1.1777,                0.83459,                 1.4564,               0.001882,               0.001882,               0.001882
                     43,                0.61566,                0.30722,                0.99697,                0.80275,                0.75644,                0.82711,                0.58841,                 1.1375,                0.82679,                 1.4317,               0.001684,               0.001684,               0.001684
                     44,                0.58793,                0.28951,                0.97665,                0.81118,                0.77747,                0.82313,                0.59379,                 1.1428,                0.82995,                 1.4273,               0.001486,               0.001486,               0.001486
                     45,                0.56826,                0.28911,                0.96389,                0.81041,                 0.8005,                0.84502,                0.60083,                 1.1424,                0.78687,                  1.406,               0.001288,               0.001288,               0.001288
                     46,                0.55526,                0.27558,                0.94698,                0.85031,                0.75107,                0.83761,                0.60137,                 1.1263,                0.81801,                 1.3814,                0.00109,                0.00109,                0.00109
                     47,                0.54461,                0.29405,                0.95405,                0.82673,                 0.7676,                0.84007,                0.60272,                 1.1379,                0.81851,                 1.4041,               0.000892,               0.000892,               0.000892
                     48,                0.53232,                0.26859,                0.93416,                0.84244,                0.76868,                0.84512,                0.60337,                 1.1386,                0.81209,                 1.4182,               0.000694,               0.000694,               0.000694
                     49,                0.52415,                0.25922,                0.93153,                0.80275,                0.79743,                0.84253,                0.60565,                 1.1373,                0.82674,                 1.4282,               0.000496,               0.000496,               0.000496
